#KEY	SRR5045034_2	SRR5045035_2	SRR5045036_2	SRR5045037_2	SRR5045038_2	SRR5045039_2
Geneid	SRR5045034	SRR5045035	SRR5045036	SRR5045037	SRR5045038	SRR5045039
gene:SMU_1313c	13187	18469	12611	8626	6705	8783
gene:SMU_1314	7468	13724	7393	6512	7670	6841
gene:SMU_1315c	3447	7416	2693	1370	2170	3940
gene:SMU_1316c	2010	4196	1582	610	1134	2167
gene:SMU_1317c	1451	3062	1045	465	1093	1560
gene:SMU_1319c	8152	6131	5924	6735	5373	6188
gene:SMU_132	21062	16545	7693	6212	3228	1939
gene:SMU_1321c	11170	9075	9283	10677	13684	16283
gene:SMU_1322	7272	11502	6783	6803	6049	8862
gene:SMU_1323	8286	9537	8597	5164	4337	4856
gene:SMU_1324	30138	38894	21811	17644	13311	11869
gene:SMU_1325	21720	25594	16044	13285	7865	4955
gene:SMU_1326	39436	44259	29210	24541	18706	7658
gene:SMU_1327c	2651	4085	2614	1846	1841	2070
gene:SMU_1329c	576	1063	531	525	229	206
gene:SMU_1330c	198	319	141	134	66	71
gene:SMU_1331c	905	1312	806	720	282	192
gene:SMU_1332c	576	793	413	446	253	111
gene:SMU_1334	659	874	540	165	212	430
gene:SMU_1335c	686	942	540	374	249	405
gene:SMU_1336	537	663	410	207	237	368
gene:SMU_1337c	412	673	351	80	149	291
gene:SMU_1338c	946	1870	752	325	330	540
gene:SMU_1339	16335	20580	5825	5198	7265	25549
gene:SMU_133c	1738	2294	1595	1002	646	768
gene:SMU_134	852	1355	678	617	1058	1766
gene:SMU_1340	11412	16482	4995	4880	4670	14913
gene:SMU_1341c	5196	8819	2681	2677	3425	11788
gene:SMU_1342	9165	17747	5052	3850	5833	22368
gene:SMU_1343c	1917	4783	1421	1207	1421	4411
gene:SMU_1344c	448	1231	325	149	208	1092
gene:SMU_1345c	691	1813	552	667	558	1340
gene:SMU_1346	354	879	368	207	239	1067
gene:SMU_1347c	202	406	231	166	150	524
gene:SMU_1348c	74	220	87	94	69	169
gene:SMU_1349	5884	8988	4392	3264	6058	13310
gene:SMU_135	3966	5313	4276	4409	4811	9553
gene:SMU_1351	1611	2527	1108	1245	1611	2049
gene:SMU_1352	722	1053	668	644	756	993
gene:SMU_1353	575	856	484	447	524	818
gene:SMU_1354c	455	711	299	208	131	119
gene:SMU_1355c	634	868	318	254	162	185
gene:SMU_1356c	626	796	421	390	309	261
gene:SMU_1357	2100	2175	1247	2477	3178	2460
gene:SMU_1358	2513	2833	1460	997	1182	2198
gene:SMU_1359	527	630	324	67	88	484
gene:SMU_1360c	361	429	296	358	453	446
gene:SMU_1361c	7742	8614	5650	3846	7043	9070
gene:SMU_1363c	1384	1406	1057	1157	1591	1895
gene:SMU_1365c	362	651	341	266	238	714
gene:SMU_1366c	50	106	60	55	40	109
gene:SMU_1367c	411	525	427	267	235	225
gene:SMU_1368	43	99	41	46	41	39
gene:SMU_1369	72	101	53	43	37	40
gene:SMU_136c	1088	1419	1104	1254	1820	4025
gene:SMU_137	2421	4050	4888	3500	3721	2270
gene:SMU_1370c	358	528	310	568	1129	897
gene:SMU_1372c	329	436	206	181	108	113
gene:SMU_1373c	212	311	170	104	61	57
gene:SMU_1374	1289	1385	958	1018	626	582
gene:SMU_1375c	3131	3558	2410	2079	1565	1484
gene:SMU_1377c	15020	17713	14701	17209	15934	15128
gene:SMU_1378	201	433	158	86	75	63
gene:SMU_1379	17	14	22	14	5	9
gene:SMU_138	1175	2049	2183	1658	1805	883
gene:SMU_1381	3554	4892	3016	1843	1364	1825
gene:SMU_1382	8563	11167	8178	6511	3964	4791
gene:SMU_1383	6822	8047	6855	6291	3961	4212
gene:SMU_1384	8864	11728	9139	7075	5519	5515
