Geneid	SRR11357516
gene:ECOLIN_03945	268
gene:ECOLIN_03950	411
gene:ECOLIN_03955	74
gene:ECOLIN_03960	1120
gene:ECOLIN_03965	36
gene:ECOLIN_03980	10
gene:ECOLIN_03985	52
gene:ECOLIN_03990	60
gene:ECOLIN_03995	176
gene:ECOLIN_04000	551
gene:ECOLIN_04005	1468
gene:ECOLIN_04010	2461
gene:ECOLIN_04015	1455
gene:ECOLIN_04020	901
gene:ECOLIN_04025	221
gene:ECOLIN_04030	143
gene:ECOLIN_04035	4519
gene:ECOLIN_04040	259
gene:ECOLIN_04045	875
gene:ECOLIN_04050	729
gene:ECOLIN_04055	475
gene:ECOLIN_04060	95
gene:ECOLIN_04065	339
gene:ECOLIN_04070	2676
gene:ECOLIN_04080	88
gene:ECOLIN_04085	303
gene:ECOLIN_04090	341
gene:ECOLIN_04095	455
gene:ECOLIN_04100	251
gene:ECOLIN_04105	1369
gene:ECOLIN_04110	10
gene:ECOLIN_04115	4565
gene:ECOLIN_04120	4844
gene:ECOLIN_04125	3215
gene:ECOLIN_04130	207
gene:ECOLIN_04135	27
gene:ECOLIN_04140	487
gene:ECOLIN_04145	1192
gene:ECOLIN_04150	2337
gene:ECOLIN_04155	1285
gene:ECOLIN_04160	829
gene:ECOLIN_04165	97
gene:ECOLIN_04170	133
gene:ECOLIN_04175	789
gene:ECOLIN_04180	58
gene:ECOLIN_04185	418
gene:ECOLIN_04190	728
gene:ECOLIN_04195	776
gene:ECOLIN_04200	3355
gene:ECOLIN_04205	34879
gene:ECOLIN_04210	42
gene:ECOLIN_04215	20071
gene:ECOLIN_04220	121
gene:ECOLIN_04230	329
gene:ECOLIN_04235	153
gene:ECOLIN_04240	990
gene:ECOLIN_04245	253
gene:ECOLIN_04250	188
gene:ECOLIN_04255	152
gene:ECOLIN_04260	12
gene:ECOLIN_04265	71
gene:ECOLIN_04270	203
gene:ECOLIN_04275	391
gene:ECOLIN_04280	1239
gene:ECOLIN_04285	943
gene:ECOLIN_04290	540
gene:ECOLIN_04295	183
gene:ECOLIN_04300	44
gene:ECOLIN_04305	44
gene:ECOLIN_04310	112
gene:ECOLIN_04315	113
gene:ECOLIN_04320	14170
gene:ECOLIN_04325	272
gene:ECOLIN_04330	190
gene:ECOLIN_04335	3309
gene:ECOLIN_04340	625
gene:ECOLIN_04345	235
gene:ECOLIN_04350	195
gene:ECOLIN_04355	69
gene:ECOLIN_04360	85
gene:ECOLIN_04365	87
gene:ECOLIN_04370	50
gene:ECOLIN_04375	2
gene:ECOLIN_04380	0
gene:ECOLIN_04385	946
gene:ECOLIN_04390	443
gene:ECOLIN_04395	1606
gene:ECOLIN_04400	72
gene:ECOLIN_04405	244
gene:ECOLIN_04410	236
gene:ECOLIN_04415	277
gene:ECOLIN_04420	9388
gene:ECOLIN_04425	2452
gene:ECOLIN_04430	450
gene:ECOLIN_04435	877
gene:ECOLIN_04440	133
gene:ECOLIN_04445	102
gene:ECOLIN_04450	58
gene:ECOLIN_04455	94
gene:ECOLIN_04460	130
gene:ECOLIN_04465	455
gene:ECOLIN_04470	321
gene:ECOLIN_04475	1497
gene:ECOLIN_04480	738
gene:ECOLIN_04485	1136
gene:ECOLIN_04490	357
gene:ECOLIN_04495	574
gene:ECOLIN_04500	1313
gene:ECOLIN_04505	8894
gene:ECOLIN_04510	26
gene:ECOLIN_04515	37
gene:ECOLIN_04520	134
gene:ECOLIN_04535	1432
gene:ECOLIN_04545	968
gene:ECOLIN_04550	1422
gene:ECOLIN_04555	317
gene:ECOLIN_04565	4710
gene:ECOLIN_04570	1914
gene:ECOLIN_04575	24181
gene:ECOLIN_04585	50
gene:ECOLIN_04590	18
gene:ECOLIN_04595	79
gene:ECOLIN_04600	374
gene:ECOLIN_04605	347
gene:ECOLIN_04610	1213
gene:ECOLIN_04615	1502
gene:ECOLIN_04620	1797
gene:ECOLIN_04625	575
gene:ECOLIN_04630	628
gene:ECOLIN_04635	7016
gene:ECOLIN_04640	205
gene:ECOLIN_04645	56
gene:ECOLIN_04650	164
gene:ECOLIN_04655	318
gene:ECOLIN_04660	1293
gene:ECOLIN_04665	2641
gene:ECOLIN_04675	8337
gene:ECOLIN_04680	151
gene:ECOLIN_04685	288
gene:ECOLIN_04690	4175
gene:ECOLIN_04695	477
gene:ECOLIN_04700	128
gene:ECOLIN_04705	708
gene:ECOLIN_04710	8496
gene:ECOLIN_04715	2964
gene:ECOLIN_04720	198
gene:ECOLIN_04725	407
gene:ECOLIN_04735	73
gene:ECOLIN_04740	161
gene:ECOLIN_04745	624
gene:ECOLIN_04750	669
gene:ECOLIN_04755	135
gene:ECOLIN_04760	197
gene:ECOLIN_04765	215
gene:ECOLIN_04770	201
gene:ECOLIN_04775	791
gene:ECOLIN_04780	5544
gene:ECOLIN_04785	961
gene:ECOLIN_04790	1063
gene:ECOLIN_04795	3577
gene:ECOLIN_04805	670
gene:ECOLIN_04810	1805
gene:ECOLIN_04815	1367
gene:ECOLIN_04820	3313
gene:ECOLIN_04825	35
gene:ECOLIN_04830	6
gene:ECOLIN_04835	32
